ref_temp,measured_voltage,temp
25.0,-0.3,17.574999999999996
25.0,-0.299,17.6
25.0,-0.298,17.624999999999996
25.0,-0.297,17.65
25.0,-0.296,17.674999999999997
25.0,-0.295,17.7
25.0,-0.294,17.724999999999998
25.0,-0.293,17.75
25.0,-0.292,17.775
25.0,-0.291,17.8
25.0,-0.29,17.824999999999996
25.0,-0.289,17.85
25.0,-0.288,17.874999999999996
25.0,-0.287,17.9
25.0,-0.286,17.924999999999997
25.0,-0.285,17.95
25.0,-0.284,17.974999999999998
25.0,-0.283,18.000000000000004
25.0,-0.282,18.025
25.0,-0.281,18.05
25.0,-0.28,18.075
25.0,-0.279,18.1
25.0,-0.278,18.125
25.0,-0.277,18.15
25.0,-0.276,18.175
25.0,-0.275,18.2
25.0,-0.274,18.225
25.0,-0.273,18.25
25.0,-0.272,18.275000000000002
25.0,-0.271,18.3
25.0,-0.27,18.325
25.0,-0.269,18.35
25.0,-0.268,18.375
25.0,-0.267,18.400000000000002
25.0,-0.266,18.425
25.0,-0.265,18.450000000000003
25.0,-0.264,18.475
25.0,-0.263,18.5
25.0,-0.262,18.525000000000002
25.0,-0.261,18.55
25.0,-0.26,18.575000000000003
25.0,-0.259,18.6
25.0,-0.258,18.625
25.0,-0.257,18.650000000000002
25.0,-0.256,18.675
25.0,-0.255,18.700000000000003
25.0,-0.254,18.725
25.0,-0.253,18.750000000000004
25.0,-0.252,18.775000000000002
25.0,-0.251,18.8
25.0,-0.25,18.825000000000003
25.0,-0.249,18.85
25.0,-0.248,18.875000000000004
25.0,-0.247,18.900000000000002
25.0,-0.246,18.925000000000004
25.0,-0.245,18.950000000000003
25.0,-0.244,18.975
25.0,-0.243,19.0
25.0,-0.242,19.025
25.0,-0.241,19.05
25.0,-0.24,19.075
25.0,-0.239,19.1
25.0,-0.238,19.125
25.0,-0.237,19.15
25.0,-0.236,19.175
25.0,-0.235,19.2
25.0,-0.234,19.225
25.0,-0.233,19.25
25.0,-0.232,19.275
25.0,-0.231,19.3
25.0,-0.23,19.325
25.0,-0.229,19.35
25.0,-0.228,19.375
25.0,-0.227,19.4
25.0,-0.226,19.425
25.0,-0.225,19.45
25.0,-0.224,19.475
25.0,-0.223,19.5
25.0,-0.222,19.525
25.0,-0.221,19.55
25.0,-0.22,19.575
25.0,-0.219,19.6
25.0,-0.218,19.625
25.0,-0.217,19.65
25.0,-0.216,19.675
25.0,-0.215,19.7
25.0,-0.214,19.725
25.0,-0.213,19.75
25.0,-0.212,19.775
25.0,-0.211,19.8
25.0,-0.21,19.825
25.0,-0.209,19.85
25.0,-0.208,19.875
25.0,-0.207,19.9
25.0,-0.206,19.925
25.0,-0.205,19.95
25.0,-0.204,19.975
25.0,-0.203,19.999999999999996
25.0,-0.202,20.025
25.0,-0.201,20.049999999999997
25.0,-0.2,20.075
25.0,-0.199,20.099999999999998
25.0,-0.198,20.125
25.0,-0.197,20.15
25.0,-0.196,20.175
25.0,-0.195,20.199999999999996
25.0,-0.194,20.225
25.0,-0.193,20.249999999999996
25.0,-0.192,20.275
25.0,-0.191,20.299999999999997
25.0,-0.19,20.325
25.0,-0.189,20.349999999999998
25.0,-0.188,20.375
25.0,-0.187,20.4
25.0,-0.186,20.425
25.0,-0.185,20.449999999999996
25.0,-0.184,20.475
25.0,-0.183,20.499999999999996
25.0,-0.182,20.525
25.0,-0.181,20.549999999999997
25.0,-0.18,20.575
25.0,-0.179,20.599999999999998
25.0,-0.178,20.625
25.0,-0.177,20.65
25.0,-0.176,20.675
25.0,-0.175,20.699999999999996
25.0,-0.174,20.725
25.0,-0.173,20.749999999999996
25.0,-0.172,20.775
25.0,-0.171,20.799999999999997
25.0,-0.17,20.824999999999996
25.0,-0.169,20.849999999999998
25.0,-0.168,20.874999999999996
25.0,-0.167,20.9
25.0,-0.166,20.924999999999997
25.0,-0.165,20.949999999999996
25.0,-0.164,20.974999999999998
25.0,-0.163,20.999999999999996
25.0,-0.162,21.0
25.0,-0.161,21.024390243902438
25.0,-0.16,21.048780487804876
25.0,-0.159,21.073170731707318
25.0,-0.158,21.097560975609756
25.0,-0.157,21.121951219512194
25.0,-0.156,21.146341463414636
25.0,-0.155,21.170731707317074
25.0,-0.154,21.195121951219512
25.0,-0.153,21.21951219512195
25.0,-0.152,21.243902439024392
25.0,-0.151,21.26829268292683
25.0,-0.15,21.29268292682927
25.0,-0.149,21.317073170731707
25.0,-0.148,21.34146341463415
25.0,-0.147,21.365853658536587
25.0,-0.146,21.390243902439025
25.0,-0.145,21.414634146341463
25.0,-0.144,21.439024390243905
25.0,-0.143,21.463414634146343
25.0,-0.142,21.48780487804878
25.0,-0.141,21.512195121951223
25.0,-0.14,21.53658536585366
25.0,-0.139,21.5609756097561
25.0,-0.138,21.585365853658537
25.0,-0.137,21.60975609756098
25.0,-0.136,21.634146341463417
25.0,-0.135,21.658536585365855
25.0,-0.134,21.682926829268293
25.0,-0.133,21.707317073170735
25.0,-0.132,21.731707317073173
25.0,-0.131,21.75609756097561
25.0,-0.13,21.78048780487805
25.0,-0.129,21.80487804878049
25.0,-0.128,21.82926829268293
25.0,-0.127,21.853658536585368
25.0,-0.126,21.878048780487806
25.0,-0.125,21.902439024390247
25.0,-0.124,21.926829268292686
25.0,-0.123,21.951219512195124
25.0,-0.122,22.0
25.0,-0.121,22.025
25.0,-0.12,22.05
25.0,-0.119,22.075
25.0,-0.118,22.1
25.0,-0.117,22.125
25.0,-0.116,22.15
25.0,-0.115,22.175
25.0,-0.114,22.2
25.0,-0.113,22.225
25.0,-0.112,22.25
25.0,-0.111,22.275
25.0,-0.11,22.3
25.0,-0.109,22.325
25.0,-0.108,22.35
25.0,-0.107,22.375
25.0,-0.106,22.4
25.0,-0.105,22.425
25.0,-0.104,22.45
25.0,-0.103,22.475
25.0,-0.102,22.5
25.0,-0.101,22.525
25.0,-0.1,22.55
