ref_temp,measured_voltage
25,-0.300
25,-0.299
25,-0.298
25,-0.297
25,-0.296
25,-0.295
25,-0.294
25,-0.293
25,-0.292
25,-0.291
25,-0.290
25,-0.289
25,-0.288
25,-0.287
25,-0.286
25,-0.285
25,-0.284
25,-0.283
25,-0.282
25,-0.281
25,-0.280
25,-0.279
25,-0.278
25,-0.277
25,-0.276
25,-0.275
25,-0.274
25,-0.273
25,-0.272
25,-0.271
25,-0.270
25,-0.269
25,-0.268
25,-0.267
25,-0.266
25,-0.265
25,-0.264
25,-0.263
25,-0.262
25,-0.261
25,-0.260
25,-0.259
25,-0.258
25,-0.257
25,-0.256
25,-0.255
25,-0.254
25,-0.253
25,-0.252
25,-0.251
25,-0.250
25,-0.249
25,-0.248
25,-0.247
25,-0.246
25,-0.245
25,-0.244
25,-0.243
25,-0.242
25,-0.241
25,-0.240
25,-0.239
25,-0.238
25,-0.237
25,-0.236
25,-0.235
25,-0.234
25,-0.233
25,-0.232
25,-0.231
25,-0.230
25,-0.229
25,-0.228
25,-0.227
25,-0.226
25,-0.225
25,-0.224
25,-0.223
25,-0.222
25,-0.221
25,-0.220
25,-0.219
25,-0.218
25,-0.217
25,-0.216
25,-0.215
25,-0.214
25,-0.213
25,-0.212
25,-0.211
25,-0.210
25,-0.209
25,-0.208
25,-0.207
25,-0.206
25,-0.205
25,-0.204
25,-0.203
25,-0.202
25,-0.201
25,-0.200
25,-0.199
25,-0.198
25,-0.197
25,-0.196
25,-0.195
25,-0.194
25,-0.193
25,-0.192
25,-0.191
25,-0.190
25,-0.189
25,-0.188
25,-0.187
25,-0.186
25,-0.185
25,-0.184
25,-0.183
25,-0.182
25,-0.181
25,-0.180
25,-0.179
25,-0.178
25,-0.177
25,-0.176
25,-0.175
25,-0.174
25,-0.173
25,-0.172
25,-0.171
25,-0.170
25,-0.169
25,-0.168
25,-0.167
25,-0.166
25,-0.165
25,-0.164
25,-0.163
25,-0.162
25,-0.161
25,-0.160
25,-0.159
25,-0.158
25,-0.157
25,-0.156
25,-0.155
25,-0.154
25,-0.153
25,-0.152
25,-0.151
25,-0.150
25,-0.149
25,-0.148
25,-0.147
25,-0.146
25,-0.145
25,-0.144
25,-0.143
25,-0.142
25,-0.141
25,-0.140
25,-0.139
25,-0.138
25,-0.137
25,-0.136
25,-0.135
25,-0.134
25,-0.133
25,-0.132
25,-0.131
25,-0.130
25,-0.129
25,-0.128
25,-0.127
25,-0.126
25,-0.125
25,-0.124
25,-0.123
25,-0.122
25,-0.121
25,-0.120
25,-0.119
25,-0.118
25,-0.117
25,-0.116
25,-0.115
25,-0.114
25,-0.113
25,-0.112
25,-0.111
25,-0.110
25,-0.109
25,-0.108
25,-0.107
25,-0.106
25,-0.105
25,-0.104
25,-0.103
